Hour,Min,Sec,X,Y,Z,Xerror,Yerror,Zerror,Lat,Lon,h
13,31,50.0,4929474.382721846,-28767.026660805244,4033738.2007958293,0.658912335473055,0.3146182986395106,0.49495309394135945,39.48137289154064,-0.33435826595985174,48.2369892783463
13,31,55.0,4929474.594506786,-28766.74066781498,4033738.1628910517,0.6911626568724569,0.33005604192663646,0.519315267503739,39.48137142474916,-0.33435492758302926,48.37505971733481
13,32,0.0,4929474.685309659,-28766.884472520578,4033738.2725310447,0.5751199625424871,0.27467329971162047,0.4322389303608579,39.48137166213641,-0.33435659282384017,48.51550283841789
13,32,5.0,4929475.373389788,-28766.966471720534,4033738.411942812,0.6531216786962231,0.31196235018374396,0.4909919168800283,39.481368688094875,-0.3343574992061313,49.13558675907552
13,32,10.0,4929474.691991482,-28767.052999533764,4033738.1872895844,0.5035264244034114,0.2405358961698077,0.37863213843314236,39.48137102565438,-0.3343585511103326,48.467220205813646
13,32,15.0,4929475.124604158,-28766.880846856195,4033738.503756295,0.6412084207044364,0.30634154322684476,0.4822914759385699,39.48137075396395,-0.3343565208880131,49.00156132970005
13,32,20.0,4929474.8478000695,-28767.073615142486,4033738.0823866944,0.659638453637391,0.31518182472139217,0.49628557979296006,39.48136940341938,-0.33435878015144366,48.52086884807795
13,32,25.0,4929473.818858882,-28767.230829127995,4033737.3975017522,0.521202406627793,0.24906322087218202,0.39223611934340263,39.481370529455354,-0.33436067719343,47.291952865198255
13,32,30.0,4929474.246698945,-28767.247976550243,4033737.754072093,0.44240018983034984,0.2114296942331227,0.333021409812001,39.4813705575641,-0.33436084747362194,47.848962008953094
13,32,35.0,4929474.4433638025,-28767.103930069254,4033737.967419417,0.5323613202228249,0.2544509794491723,0.4008475026905301,39.48137091928164,-0.3343591599245774,48.135754778049886
13,32,40.0,4929475.084475076,-28767.195322856373,4033738.0480604526,0.7452427414115808,0.35623929714516456,0.5612888955623747,39.48136780534081,-0.3343601786712002,48.68226156104356
13,32,45.0,4929474.832653966,-28767.144577257783,4033738.2290685256,0.5876356024221671,0.28092996037924867,0.4427034913703696,39.48137050749407,-0.33435960595043995,48.60276274289936
13,32,50.0,4929474.301409696,-28767.05163132519,4033737.7923548766,0.7931514984207976,0.3792201907914734,0.5976917937895811,39.48137051694629,-0.3343585616999989,47.91464563831687
13,32,55.0,4929475.207039001,-28766.775675773242,4033738.5299394075,0.6485636802322701,0.31012213072498535,0.48886646532986,39.481370467414976,-0.3343552929244423,49.08136028330773
13,33,0.0,4929474.414246868,-28766.810861383026,4033737.751477136,0.5379563150243748,0.25725949142147414,0.4056030607609175,39.481369594625974,-0.33435575564852293,47.97465978842229
13,33,5.0,4929476.32316417,-28768.79852163813,4033735.4355007047,0.583386841667621,0.2790132390650172,0.43997461080778494,39.481342495995015,-0.3343787281540833,47.98438955564052
13,33,10.0,4929491.239155615,-28764.760554249944,4033719.478608368,0.3919695376156651,0.18748384418875805,0.2956924488722716,39.48114628096693,-0.3343307844462863,49.332856476306915
13,33,15.0,4929501.425147485,-28731.00271932937,4033705.2013819925,0.4105349684387658,0.19638306648527507,0.3097810838607139,39.480989822649015,-0.33393773838877366,47.964884934946895
13,33,20.0,4929512.50456639,-28689.57718999678,4033691.3955139723,0.4781346311700166,0.22958025542072377,0.380353049479603,39.48083177897057,-0.3334555147944173,47.55195982940495
13,33,25.0,4929522.588672929,-28647.070003420427,4033679.7799567734,0.249967197833387,0.1200237174742746,0.1988431985761097,39.48069469593704,-0.3329607888850293,47.7589322142303
13,33,30.0,4929534.6920025945,-28624.303427684892,4033666.583104569,0.8697620059389489,0.41762277373795476,0.6918625384589588,39.48053439815292,-0.33269536534853367,48.607745996676385
13,33,35.0,4929554.578514683,-28628.978988168958,4033640.5704172035,0.5499679271354376,0.27850107640397215,0.4358684056218451,39.48023952116733,-0.3327483650350195,47.438462406396866
13,33,40.0,4929575.824266979,-28633.972323679856,4033615.3623403236,0.480138385991845,0.24305647427965496,0.3805375178119847,39.47994244329119,-0.3328049658621791,47.831461117602885
13,33,45.0,4929583.168406625,-28635.13523201205,4033606.510793655,0.6197368181859261,0.2975701335784587,0.49295255978099367,39.47983881194713,-0.33281798590422784,47.877258624881506
13,33,50.0,4929582.68433662,-28635.323761369156,4033606.496950209,0.7830840854367207,0.376000880656379,0.6228734207846017,39.479841481500166,-0.3328202097589197,47.49567980878055
13,33,55.0,4929588.862028725,-28636.856487973266,4033598.1487545804,0.3221412105427699,0.15467671632925428,0.25623104203064084,39.47974801688117,-0.3328376067042046,46.96288259886205
13,34,0.0,4929611.0026729675,-28641.82301595339,4033572.693557869,0.44154677052384406,0.22321227246190745,0.34999641152601657,39.47944409722647,-0.332893834754345,47.88964386191219
13,34,5.0,4929641.890063816,-28649.284152959946,4033535.5553413397,0.4313810341857593,0.2179978181066555,0.3419502170440664,39.47900878533745,-0.33297846468187875,48.15087795909494
13,34,15.0,4929708.562429369,-28665.801834394264,4033453.4236366726,0.7080458522022697,0.35756174283612263,0.5612989989466661,39.47805545173114,-0.3331659324558316,47.46760621294379
13,34,20.0,4929739.675404301,-28672.999853414003,4033415.688041878,0.8049292455500361,0.4063460873522585,0.6381263411330522,39.47761470346396,-0.33324748577092866,47.52317723631859
13,34,25.0,4929769.038910215,-28679.111526356482,4033380.4477061452,0.6724457523510257,0.3228645308517391,0.5348317994367773,39.47720135690464,-0.33331653081555584,47.81031403783709
13,34,30.0,4929795.551800224,-28688.760424681648,4033348.7191385813,0.6144515339343739,0.29501686092665463,0.4887028165583298,39.47682863053616,-0.3334268772679514,48.14603560231626
13,34,35.0,4929804.777082262,-28720.03862558782,4033336.5123130814,0.5201035461244361,0.24971509761810143,0.4136611824344032,39.47668989625382,-0.33378976633563634,47.64664830546826
13,34,40.0,4929795.021043693,-28770.999146228085,4033349.81978842,0.4698635699163716,0.2255911930729484,0.37370159407266385,39.47683657739577,-0.3343826875144462,48.806051569990814
13,34,45.0,4929779.351859813,-28837.606972070014,4033368.978963492,0.4867553095993371,0.23369864591871642,0.3871351461647831,39.477057274152806,-0.33515786549520177,49.19270412065089
13,34,50.0,4929762.702229917,-28901.247669027736,4033386.0729999226,0.5025122722782942,0.23887707359455748,0.4463935577862134,39.477269322252674,-0.3358986310539946,47.49699216801673
